,1. open,2. high,3. low,4. close,5. volume
2020-01-03 04:20:00,276.8340,276.9780,276.6980,276.9160,500
2020-01-03 04:30:00,276.9470,277.0900,276.7830,277.0010,800
2020-01-03 04:40:00,276.9000,277.0430,276.6610,276.8790,600
2020-01-03 04:45:00,276.6840,276.8280,276.5480,276.7660,100
2020-01-03 05:35:00,276.6660,276.8090,276.5300,276.7470,500
2020-01-03 05:40:00,276.5160,276.7060,276.3800,276.6440,1100
2020-01-03 05:45:00,276.3470,276.4900,276.2110,276.4290,200
2020-01-03 05:50:00,276.1310,276.2740,275.9960,276.2130,100
2020-01-03 05:55:00,275.8500,275.9930,275.3300,275.7440,800
2020-01-03 06:05:00,276.1310,276.2740,275.9960,276.2130,100
2020-01-03 06:15:00,276.1120,276.4520,275.9770,276.3910,1600
2020-01-03 06:20:00,276.3750,276.5370,276.1550,276.3720,2400
2020-01-03 06:25:00,276.2910,276.4340,276.1550,276.3720,400
2020-01-03 07:00:00,276.1500,276.3870,275.9490,276.3250,4392
2020-01-03 07:05:00,276.2440,276.4050,276.0990,276.3350,4800
2020-01-03 07:10:00,276.3660,276.5090,276.2300,276.4470,1000
2020-01-03 07:15:00,276.9840,277.1280,276.8480,277.0660,100
2020-01-03 07:20:00,276.8720,277.0340,276.7270,276.9730,2100
2020-01-03 07:25:00,276.8440,277.0340,276.6890,276.9070,5500
2020-01-03 07:30:00,276.8910,277.0340,276.7550,276.9730,100
2020-01-03 07:35:00,276.9090,277.0530,276.7730,276.9910,300
2020-01-03 07:50:00,276.8810,277.0250,276.6890,276.9070,8400
2020-01-03 07:55:00,276.8250,277.0620,276.6890,277.0010,1900
2020-01-03 08:00:00,276.8810,277.2680,276.6420,277.1980,7920
2020-01-03 08:05:00,277.1630,277.3720,277.0260,277.3100,6030
2020-01-03 08:10:00,277.1810,277.4280,277.0260,277.3670,4700
2020-01-03 08:15:00,277.3030,277.5970,277.1390,277.5350,7336
2020-01-03 08:20:00,277.4720,277.7560,277.3170,277.6570,35189
2020-01-03 08:25:00,277.5470,277.6910,277.3450,277.5630,4300
2020-01-03 08:30:00,277.4810,277.6250,277.1200,277.3380,9600
2020-01-03 08:35:00,277.2090,277.4190,277.0730,277.3570,2200
2020-01-03 08:40:00,277.2380,277.4000,277.0920,277.3100,7800
2020-01-03 08:45:00,277.2750,277.5490,277.1390,277.4880,4964
2020-01-03 08:50:00,277.4160,277.5590,277.1010,277.4420,17325
2020-01-03 08:55:00,277.2850,277.4370,277.0730,277.2910,2097
2020-01-03 09:00:00,277.2280,277.4840,277.0920,277.4230,3350
2020-01-03 09:05:00,277.3600,277.5030,277.1580,277.3760,500
2020-01-03 09:10:00,277.2750,277.4190,276.9700,277.1880,1890
2020-01-03 09:15:00,277.0970,277.2870,276.9420,277.1600,5730
2020-01-03 09:20:00,277.0690,277.2120,276.8860,277.1040,2500
2020-01-03 09:25:00,277.0410,277.1840,276.4640,276.7290,19075
2020-01-03 09:30:00,276.8160,278.1130,276.5110,278.0180,206119
2020-01-03 09:35:00,277.9690,278.1130,277.4580,277.8540,78064
2020-01-03 09:40:00,277.7670,278.3470,277.5420,278.2290,50342
2020-01-03 09:45:00,278.2030,278.3570,277.8800,278.1830,61398
2020-01-03 09:50:00,278.0910,278.3470,277.7860,278.0230,79445
2020-01-03 09:55:00,277.9410,278.3100,277.6540,278.1680,85181
2020-01-03 10:00:00,278.0070,278.1500,277.3080,277.6850,128099
2020-01-03 10:05:00,277.5000,278.0190,277.3190,277.9010,17536
2020-01-03 10:10:00,277.7910,278.1030,277.5700,278.0420,41902
2020-01-03 10:15:00,277.9690,278.3000,277.6070,277.8260,20771
2020-01-03 10:20:00,277.7440,278.0380,277.4580,277.9760,17146
2020-01-03 10:25:00,277.8660,278.2210,277.6920,278.1450,56110
2020-01-03 10:30:00,278.0630,278.2820,277.7860,278.1640,51744
2020-01-03 10:35:00,278.0530,278.3190,277.8510,278.1070,25211
2020-01-03 10:40:00,278.0630,278.4790,277.9260,278.3610,18331
2020-01-03 10:45:00,278.3140,278.4880,277.9360,278.1540,18450
2020-01-03 10:50:00,278.0390,278.1830,277.6360,277.9380,24095
2020-01-03 10:55:00,277.8470,278.0660,277.6260,277.9290,14498
2020-01-03 11:00:00,277.8280,277.9910,277.5040,277.7870,19164
2020-01-03 11:05:00,277.7160,277.9430,277.4860,277.7280,13573
2020-01-03 11:10:00,277.6130,278.0470,277.3730,277.9290,28327
2020-01-03 11:15:00,277.8470,278.0660,277.6090,277.9150,67896
2020-01-03 11:20:00,277.8380,278.1600,277.7010,278.0320,11071
2020-01-03 11:25:00,277.9410,278.1690,277.7200,277.9860,14598
2020-01-03 11:30:00,277.9410,278.3380,277.7860,278.2760,16815
2020-01-03 11:35:00,278.1750,278.3470,277.9640,278.2760,19466
2020-01-03 11:40:00,278.2130,278.4130,277.9920,278.3450,23697
2020-01-03 11:45:00,278.2600,278.4550,278.1040,278.3510,20924
2020-01-03 11:50:00,278.2600,278.5540,278.1040,278.4920,18824
2020-01-03 11:55:00,278.4100,278.6010,278.1850,278.4550,10455
2020-01-03 12:00:00,278.3720,278.7880,278.2350,278.7270,21824
2020-01-03 12:05:00,278.6430,278.9010,278.4230,278.6800,19081
2020-01-03 12:10:00,278.6250,278.8160,278.3010,278.5350,20153
2020-01-03 12:15:00,278.4570,278.7310,278.3200,278.6230,11218
2020-01-03 12:20:00,278.5220,278.7230,278.3530,278.6610,11811
2020-01-03 12:25:00,278.5780,278.7600,278.4040,278.6420,20287
2020-01-03 12:30:00,278.5220,278.8450,278.3670,278.7270,11379
2020-01-03 12:35:00,278.6390,278.8610,278.5020,278.7920,11825
2020-01-03 12:40:00,278.7190,278.9100,278.4700,278.7920,12168
2020-01-03 12:45:00,278.7000,278.8820,278.5540,278.8020,16848
2020-01-03 12:50:00,278.7190,278.9670,278.5540,278.8020,28427
2020-01-03 12:55:00,278.6910,278.8350,278.4230,278.7050,23762
2020-01-03 13:00:00,278.6290,278.8800,278.4790,278.6980,17608
2020-01-03 13:05:00,278.6720,278.8630,278.5210,278.7410,16783
2020-01-03 13:10:00,278.6590,278.8540,278.5070,278.7270,9541
2020-01-03 13:15:00,278.6350,278.7880,278.3200,278.5480,29177
2020-01-03 13:20:00,278.4530,278.7510,278.3010,278.6590,13143
2020-01-03 13:25:00,278.6070,278.8070,278.4510,278.7220,32553
2020-01-03 13:30:00,278.6160,278.7880,278.2170,278.4360,51594
2020-01-03 13:35:00,278.3440,278.4880,277.5890,278.2110,84388
2020-01-03 13:40:00,278.1000,278.4690,277.9360,278.3140,36823
2020-01-03 13:45:00,278.2220,278.4900,278.0100,278.4080,15990
2020-01-03 13:50:00,278.3350,278.5350,278.0290,278.3000,18955
2020-01-03 13:55:00,278.2130,278.4130,277.9820,278.3510,20128
2020-01-03 14:00:00,278.2530,278.4880,277.8320,278.1160,36462
2020-01-03 14:05:00,278.0720,278.2420,277.8320,278.0750,19700
2020-01-03 14:10:00,277.9600,278.1880,277.7840,278.0030,10061
2020-01-03 14:15:00,277.9220,278.2820,277.7580,278.1730,12872
2020-01-03 14:20:00,278.0630,278.2910,277.9070,278.1810,9668
2020-01-03 14:25:00,278.1190,278.2910,277.8700,278.2110,10905
2020-01-03 14:30:00,278.1380,278.2820,277.9450,278.2190,12034
2020-01-03 14:35:00,278.1380,278.3850,277.9260,278.3120,10363
2020-01-03 14:40:00,278.2500,278.4690,278.0760,278.3980,12552
2020-01-03 14:45:00,278.3250,278.4770,278.1040,278.3810,10940
2020-01-03 14:50:00,278.3070,278.5730,278.1700,278.5110,12291
2020-01-03 14:55:00,278.4380,278.6660,278.3010,278.5580,15065
2020-01-03 15:00:00,278.4660,278.8630,278.2730,278.7360,96352
2020-01-03 15:05:00,278.6160,278.7600,278.3670,278.6230,14626
2020-01-03 15:10:00,278.5030,278.7020,278.2700,278.5200,13842
2020-01-03 15:15:00,278.4190,278.6100,278.1230,278.4260,18492
2020-01-03 15:20:00,278.3630,278.5910,278.0010,278.2670,20620
2020-01-03 15:25:00,278.1850,278.3850,277.9920,278.2190,45104
2020-01-03 15:30:00,278.1190,278.2770,277.6820,278.0320,27735
2020-01-03 15:35:00,277.9400,278.1750,277.7290,277.9570,32814
2020-01-03 15:40:00,277.8660,278.2250,277.6920,278.1360,27396
2020-01-03 15:45:00,278.0630,278.2350,277.6840,278.0420,40476
2020-01-03 15:50:00,277.9410,278.4510,277.6920,278.1730,86514
2020-01-03 15:55:00,278.0720,278.3000,277.6360,277.8640,162169
2020-01-03 16:00:00,277.7720,278.0850,277.6070,278.0230,26017
2020-01-03 16:05:00,277.9500,278.1220,277.7570,278.0320,27635
2020-01-03 16:10:00,277.7720,278.1320,277.6360,278.0140,2110
2020-01-03 16:25:00,277.8280,277.9720,277.6920,277.9110,154
2020-01-03 16:40:00,277.8280,277.9720,277.6730,277.8920,200
2020-01-03 16:50:00,277.8280,277.9720,277.6920,277.9110,899
2020-01-03 16:55:00,277.8380,278.0280,277.7010,277.9670,245
2020-01-03 17:00:00,277.9220,278.0660,277.7860,278.0040,135
2020-01-03 17:05:00,277.8380,277.9810,277.7010,277.9200,102
2020-01-03 17:45:00,277.6880,277.8310,277.5510,277.7700,200
2020-01-06 04:05:00,275.9060,276.0490,275.7240,275.9410,1400
2020-01-06 05:20:00,276.2250,276.3680,276.0890,276.3070,400
2020-01-06 06:35:00,276.2910,276.4340,276.1550,276.3720,1200
2020-01-06 07:00:00,276.3280,276.4800,276.1830,276.4190,500
2020-01-06 07:05:00,276.4690,276.6120,276.3330,276.5510,1800
2020-01-06 07:10:00,276.4780,276.6210,276.3420,276.5600,500
2020-01-06 07:15:00,276.5250,276.6680,276.3890,276.6070,2400
2020-01-06 07:20:00,276.5250,276.6680,276.3890,276.6070,500
2020-01-06 07:25:00,276.5720,276.7150,276.4360,276.6540,2050
2020-01-06 07:30:00,276.5720,276.7150,276.4360,276.6540,2400
2020-01-06 07:45:00,276.8250,276.9680,276.6700,276.8880,1700
