,date,positivity_weighted,neutrality_weighted,negativity_weighted,compound_weighted
209,2006-09-27,0.0,0.0,0.0,0.0
210,2006-09-28,0.0,0.0165895776567382,0.0,0.0
211,2006-10-05,0.0,0.0,0.0,0.0
212,2006-10-11,0.002727010913559933,0.007262040051861067,0.0,0.004582976582935154
213,2006-10-16,0.0,0.0084699749541617,0.0,0.0
214,2006-10-20,0.0,0.0,0.0,0.0
215,2006-10-24,0.0,0.023564257616204,0.0,0.0
216,2006-10-25,0.0,0.0,0.0,0.0
217,2006-10-26,0.0,0.0,0.0,0.0
218,2006-11-01,0.008969749059606475,0.009335861266121025,0.0,0.014126439488363913
219,2006-11-02,0.0028506675231050153,0.016809108498308883,0.0,0.005819293702338513
220,2006-11-07,0.0052754856948427475,0.011314091961895452,0.0,0.006992506982315151
221,2006-11-10,0.0,0.0,0.0,0.0
222,2006-11-13,0.0,0.01320814508465975,0.00792488705079585,-0.012381843528163437
223,2006-11-17,0.0,0.0,0.0,0.0
224,2006-11-20,0.0,0.0,0.0,0.0
225,2006-11-29,0.0,0.0,0.0,0.0
226,2006-11-30,0.0,0.0,0.0,0.0
227,2006-12-02,0.0,0.0,0.0,0.0
228,2006-12-04,0.0,0.0,0.0,0.0
229,2006-12-05,0.0,0.0,0.0,0.0
230,2006-12-07,0.0,0.0084699749541617,0.0,0.0
231,2006-12-12,0.0,0.0,0.0,0.0
232,2006-12-13,0.0,0.0165895776567382,0.0,0.0
233,2006-12-14,0.0,0.0,0.0,0.0
234,2006-12-15,0.0,0.0,0.0,0.0
235,2006-12-20,0.0,0.0288778041810292,0.0,0.0
236,2006-12-21,0.0,0.0,0.0,0.0
237,2006-12-22,0.0,0.0,0.0,0.0
238,2006-12-27,0.0,0.0,0.0,0.0
239,2007-01-03,0.0,0.0,0.0,0.0
240,2007-01-19,0.0,0.0084699749541617,0.0,0.0
241,2007-01-22,0.008241882532827685,0.012891149602627916,0.0,0.01043760457170152
242,2007-01-23,0.0,0.0,0.0,0.0
243,2007-02-02,0.007083749659427211,0.009505827997310987,0.0,0.01280217707770487
244,2007-02-06,0.0,0.0,0.0,0.0
245,2007-02-08,0.0,0.0,0.0,0.0
246,2007-02-13,0.0,0.0,0.0,0.0
247,2007-02-14,0.0020571076294355365,0.014532470027302662,0.0,0.0066673512602430825
248,2007-02-15,0.0,0.0,0.0,0.0
249,2007-02-20,0.0,0.0,0.0,0.0
250,2007-02-21,0.0,0.0,0.0,0.0
251,2007-02-28,0.003761679720111097,0.0173713524153445,0.0,0.008068591669316947
252,2007-03-01,0.0,0.0,0.0,0.0
253,2007-03-05,0.0,0.0,0.0,0.0
254,2007-03-20,0.0,0.023564257616204,0.0,0.0
255,2007-03-21,0.002134436245681016,0.018998595889774587,0.0,0.008493365615239605
256,2007-03-22,0.0,0.0,0.0,0.0
257,2007-03-26,0.0033727403281563237,0.013835118488967778,0.0,0.005093526209868734
258,2007-03-27,0.0,0.0165895776567382,0.0,0.0
259,2007-03-29,0.0,0.0394032335512878,0.0,0.0
260,2007-04-10,0.0,0.0092576650343513,0.0,0.0
261,2007-04-11,0.0,0.0,0.0,0.0
262,2007-04-13,0.0,0.0,0.0,0.0
263,2007-04-16,0.0,0.0,0.0,0.0
264,2007-04-17,0.0031652239394476377,0.01649455208196626,0.0,0.006255740730013902
265,2007-04-19,0.0,0.0,0.0,0.0
266,2007-04-24,0.0,0.0172078588171241,0.0,0.0
267,2007-04-25,0.0,0.006013682217454806,0.0024562927367068926,-0.0050769029875245225
268,2007-04-26,0.0,0.0,0.0,0.0
269,2007-04-27,0.0,0.0,0.0,0.0
270,2007-04-30,0.0,0.0,0.0,0.0
271,2007-05-01,0.0,0.0,0.0,0.0
272,2007-05-03,0.0,0.0,0.0,0.0
273,2007-05-07,0.0,0.0,0.0,0.0
274,2007-05-10,0.0,0.0,0.0,0.0
275,2007-05-14,0.002873712422459725,0.014334146394664375,0.0,0.004301964704281025
276,2007-05-15,0.005953919150724938,0.011253939666399163,0.0,0.009841174457513273
277,2007-05-16,0.0,0.0,0.0,0.0
278,2007-05-22,0.0,0.008121098434887272,0.001867952530533727,-0.005987437148673348
279,2007-05-25,0.0,0.0,0.0,0.0
280,2007-05-29,0.0,0.0,0.0,0.0
281,2007-05-31,0.005142769073588842,0.011446808583149356,0.0,0.0066673512602430825
282,2007-06-05,0.0016906425708364482,0.019442389564619154,0.0,0.0016314700808571724
283,2007-06-06,0.0,0.0141205034904226,0.0,0.0
284,2007-06-09,0.0,0.0141205034904226,0.0,0.0
285,2007-06-11,0.0,0.0,0.0,0.0
286,2007-06-13,0.0,0.0,0.0,0.0
287,2007-06-15,0.0,0.007501777275031171,0.002487273690389829,-0.00647889845617206
288,2007-06-18,0.0,0.023564257616204,0.0,0.0
289,2007-06-22,0.0,0.0,0.0,0.0
290,2007-06-28,0.0,0.0,0.0,0.0
291,2007-07-03,0.0,0.0,0.0,0.0
292,2007-07-06,0.0,0.0,0.0,0.0
293,2007-07-10,0.0,0.0,0.0,0.0
294,2007-07-17,0.0,0.0,0.0,0.0
295,2007-07-20,0.0,0.0,0.0,0.0
296,2007-08-02,0.0,0.0,0.0,0.0
297,2007-08-08,0.003334569305056308,0.006058583666933292,0.0,0.006298109067719027
298,2007-08-10,0.0,0.0165895776567382,0.0,0.0
299,2007-08-14,0.0,0.0,0.0,0.0
300,2007-08-16,0.0,0.0,0.0,0.0
301,2007-08-22,0.0,0.0,0.0,0.0
302,2007-08-23,0.0,0.0,0.0,0.0
303,2007-08-28,0.00302382342305378,0.01209529369221512,0.0,0.006936650932485371
304,2007-08-29,0.0,0.0,0.0,0.0
305,2007-09-04,0.0,0.0,0.0,0.0
306,2007-09-12,0.0052423065395292715,0.011347271117208929,0.0,0.011917952588600723
307,2007-09-17,0.0,0.0,0.0,0.0
308,2007-09-24,0.0,0.0,0.0,0.0
309,2007-09-28,0.0,0.0,0.0,0.0
310,2007-10-03,0.0,0.0165895776567382,0.0,0.0
311,2007-10-05,0.0,0.0196597760214139,0.0,0.0
312,2007-10-09,0.0,0.0,0.0,0.0
313,2007-10-12,0.0,0.0,0.0,0.0
314,2007-10-18,0.0,0.0,0.0,0.0
315,2007-10-24,0.0,0.0,0.0,0.0
316,2007-10-25,0.0,0.0,0.0,0.0
317,2007-10-29,0.0,0.0,0.0,0.0
318,2007-10-30,0.0,0.0,0.0,0.0
319,2007-10-31,0.0,0.0175179740152514,0.0,0.0
320,2007-11-01,0.0,0.0,0.0,0.0
321,2007-11-05,0.0,0.0,0.0,0.0
322,2007-11-12,0.0,0.0,0.0,0.0
323,2007-11-15,0.002917371062394254,0.009137881261548944,0.0,0.005954089122795546
324,2007-11-21,0.0,0.0257429333154941,0.0,0.0
325,2007-11-26,0.0,0.0,0.0,0.0
326,2007-11-29,0.0,0.0,0.0,0.0
327,2007-12-03,0.005156459841051167,0.015976572294404436,0.0,0.009306987352454646
328,2007-12-13,0.0,0.0,0.0,0.0
329,2007-12-19,0.006232148998788206,0.013427627022625694,0.0,0.014900144246629594
330,2007-12-20,0.0,0.0,0.0,0.0
331,2008-01-02,0.0,0.0,0.0,0.0
332,2008-01-03,0.0,0.0093931529719896,0.0,0.0
333,2008-01-07,0.0,0.0,0.0,0.0
334,2008-01-10,0.0024817026615693775,0.005988272292592321,0.0,0.005931523460399438
335,2008-01-11,0.0,0.0,0.0,0.0
336,2008-01-14,0.0,0.0,0.0,0.0
337,2008-01-15,0.0,0.0165895776567382,0.0,0.0
338,2008-01-31,0.0,0.0,0.0,0.0
339,2008-02-04,0.0,0.0,0.0,0.0
340,2008-02-07,0.0018145023467328548,0.006035997602397048,0.0014071650852213976,0.0014173485167591842
341,2008-02-08,0.0,0.0,0.0,0.0
342,2008-02-12,0.0,0.0,0.0,0.0
343,2008-02-13,0.0,0.0,0.0,0.0
344,2008-02-14,0.0,0.0,0.0,0.0
345,2008-02-18,0.0015096515667631762,0.015079926089975024,0.0,0.0017037496253470132
346,2008-02-19,0.0036994758174526184,0.011844958446911073,0.0010451433923745067,0.00971983354908291
347,2008-02-21,0.0,0.0165895776567382,0.0,0.0
348,2008-03-03,0.0,0.0,0.0,0.0
349,2008-03-05,0.0,0.0165895776567382,0.0,0.0
350,2008-03-12,0.0,0.0,0.0,0.0
351,2008-03-13,0.0,0.0,0.0,0.0
352,2008-03-19,0.0,0.0165895776567382,0.0,0.0
353,2008-03-28,0.0,0.0,0.0,0.0
354,2008-03-31,0.0,0.0,0.0,0.0
355,2008-04-02,0.0,0.0165895776567382,0.0,0.0
356,2008-04-07,0.005282812656857099,0.011925046160267001,0.0,0.012649497016467925
357,2008-04-15,0.0,0.0,0.0,0.0
358,2008-04-18,0.0,0.0,0.0,0.0
359,2008-04-22,0.0,0.015267828188637,0.0,0.0
360,2008-04-23,0.0,0.0,0.0,0.0
361,2008-04-28,0.0,0.0,0.0,0.0
362,2008-04-29,0.0016092952412907228,0.004904115498459623,0.0019565642144113524,-0.0010841567941326975
363,2008-04-30,0.003784294935433257,0.010336208554989342,0.0,0.004179669033165089
364,2008-05-09,0.0,0.0377981856394373,0.0,0.0
365,2008-05-12,0.014307062755703443,0.00682596937975216,0.0,0.0187766990523523
366,2008-05-14,0.007548257833815881,0.00904131982292232,0.0,0.014515880449645925
367,2008-05-16,0.0,0.0,0.0,0.0
368,2008-05-21,0.0,0.006842499911313385,0.0031465510541076147,-0.008306894782844102
369,2008-05-22,0.0,0.0269619730262684,0.0,0.0
370,2008-05-28,0.0,0.0,0.0,0.0
371,2008-05-30,0.0,0.0,0.0,0.0
372,2008-06-02,0.005142769073588842,0.011446808583149356,0.0,0.0066673512602430825
373,2008-06-03,0.0019819741392738378,0.006488000814887862,0.0,0.0050769029875245225
374,2008-06-04,0.0,0.0,0.0,0.0
375,2008-06-05,0.005142769073588842,0.011446808583149356,0.0,0.0066673512602430825
376,2008-06-06,0.0,0.0,0.0,0.0
377,2011-05-19,0.015582612404240479,0.17557013513490632,0.0,0.012964866546380634
378,2011-05-20,0.0,0.012680555533811965,0.006979220487601934,-0.005819293702338513
379,2011-05-21,0.0,0.1005634253580622,0.0,0.0
380,2011-05-23,0.0,0.0,0.0,0.0
381,2011-05-24,0.02275134069697283,0.08666703275686448,0.0,0.01736828763395322
382,2011-05-25,0.0,0.0670250645648806,0.0,0.0
383,2011-05-26,0.011504451522242864,0.17546665781568804,0.0,0.012706409143969729
384,2011-05-27,0.009916150379246647,0.13463518078701683,0.00832784923625043,0.015037348388961473
385,2011-05-28,0.0,0.0,0.0,0.0
386,2011-05-29,0.0,0.0,0.0,0.0
387,2011-05-30,0.0,0.0,0.0,0.0
388,2011-05-31,0.0,0.09058932218108459,0.0,0.0
389,2011-06-01,0.0,0.1869711093379309,0.0,0.0
390,2011-06-02,0.0,0.1869711093379309,0.0,0.0
391,2011-06-03,0.0,0.018662892032033567,0.004901365584170431,-0.006437755180746933
392,2011-06-05,0.0,0.1005634253580622,0.0,0.0
393,2011-06-06,0.013576062423338399,0.09491911425370451,0.058992749820541826,-0.061497755429663604
394,2011-06-07,0.0,0.011481406797855025,0.003786421390781976,-0.005303280121323062
395,2011-06-08,0.0,0.0,0.0,0.0
396,2011-06-09,0.013908366765696597,0.054173947093546615,0.017771801978390095,-0.010989326827217063
397,2011-06-11,0.0,0.1171530030148004,0.0,0.0
398,2011-06-12,0.0,0.0,0.0,0.0
399,2011-06-13,0.0,0.1346553542934792,0.0,0.0
400,2011-06-14,0.013131869560647028,0.15477447662124608,0.0,0.011980305614559518
401,2011-06-15,0.0,0.0670250645648806,0.0,0.0
402,2011-06-16,0.0,0.06236961174752018,0.019803789764364116,-0.018595840762139416
403,2011-06-17,0.0,0.012542937101662068,0.0071168389197518315,-0.0103548040304787
404,2011-06-18,0.02927625350063296,0.12297397075860286,0.015777293090281787,0.022330816257660382
405,2011-06-19,0.0,0.0,0.0,0.0
406,2011-06-20,0.01036827335112976,0.013195984265074241,0.0,0.01579983473166478
407,2011-06-21,0.0,0.11603959787514026,0.011485800509190338,-0.017172080620430345
408,2011-06-22,0.0,0.0269619730262684,0.0,0.0
409,2011-06-23,0.0,0.05075185907007323,0.006904327481547771,-0.010377699054176242
410,2011-06-24,0.006039481957884122,0.18425098925317668,0.004286953711176676,0.005014926982885922
411,2011-06-25,0.005985558011831585,0.020976415014436818,0.0,0.0067404932565671
412,2011-06-28,0.031525471029635,0.14760347744376967,0.02037198097679153,0.017179696183625713
413,2011-06-29,0.003427354286399823,0.014417169082370193,0.0018152526526438834,0.0020826256065351123
414,2011-06-30,0.002929306627190671,0.011677906956719856,0.005052562437503372,-0.005371050809050277
415,2011-07-01,0.013739047360973053,0.17379908287419696,0.014142288623189805,0.0034400088542608717
416,2011-07-02,0.0061663059399690145,0.08667309208656583,0.008277595473762753,-0.0038841024915348297
417,2011-07-04,0.0,0.023564257616204,0.0,0.0
418,2011-07-05,0.002183063866350585,0.007606460198001814,0.0,0.0031150265572769333
419,2011-07-06,0.0,0.0,0.0,0.0
420,2011-07-07,0.0,0.0,0.0,0.0
421,2011-07-08,0.006349544647686208,0.020612428378582192,0.0,0.007688206608440435
422,2011-07-11,0.0,0.0,0.0,0.0
423,2011-07-12,0.0,0.0146548247551833,0.0,0.0
424,2011-07-14,0.010925085524075537,0.056099979040805055,0.0,0.014758919217186708
425,2011-07-15,0.0,0.1827368268699465,0.0,0.0
426,2011-07-19,0.017685445884472826,0.12554200121256523,0.005771082528043951,0.019055997247803675
427,2011-07-20,0.030772408159567034,0.06979101719849516,0.0,0.02976677390598641
428,2011-07-21,0.02627135944631579,0.1698187266403192,0.004447958599483119,0.020919674077286985
429,2011-07-22,0.0,0.07414876563067786,0.026414659727384337,-0.04114049731398325
430,2011-07-25,0.007072960916850375,0.06751157955704577,0.02597888488416607,-0.024765419551512114
431,2011-07-27,0.0,0.08229289275351759,0.0,0.0
432,2011-07-28,0.0,0.0858541158376333,0.0,0.0
433,2011-07-29,0.008295800268304548,0.009059430418525052,0.0,0.011636682175519246
434,2011-08-01,0.0,0.0,0.0,0.0
435,2011-08-02,0.010119035760865652,0.13455772257796317,0.0,0.010621846014270043
436,2011-08-04,0.0,0.21821408355985603,0.03522852220072008,-0.05092929162758777
437,2011-08-05,0.02747331706804266,0.05838079876959065,0.0,0.04383711154669557
438,2011-08-08,0.0,0.0,0.0,0.0
439,2011-08-09,0.0,0.1005634253580622,0.0,0.0
440,2011-08-10,0.01133014592367501,0.08279722021147122,0.006436059222915981,0.011098850045351466
441,2011-08-11,0.002037020640970479,0.012617804114212821,0.0,0.0029448870345540838
442,2011-08-12,0.0,0.16758848992294278,0.0,0.0
443,2011-08-15,0.0,0.0670250645648806,0.0,0.0
444,2011-08-16,0.006904327481547771,0.18424842005759903,0.0,0.010377699054176242
445,2011-08-17,0.0,0.0866848405862945,0.0,0.0
446,2011-08-18,0.024537475787367178,0.07602594957069503,0.0,0.044288132527690593
447,2011-08-19,0.0,0.11741185340841391,0.0028113479710621873,-0.002516451330740979
448,2011-08-20,0.017498036012302823,0.08306538934575937,0.0,0.022757503158529476
449,2011-08-23,0.004875624453310647,0.11100276642543298,0.004344810500732471,0.001517734708853153
450,2011-08-24,0.0,0.0196597760214139,0.0,0.0
451,2011-08-25,0.0029881703534967055,0.0993491075158669,0.017885923510112495,-0.021217446130188868
452,2011-08-26,0.021721699877341436,0.09850150150213467,0.0,0.02976677390598641
