;ADS_Index
1961:03:12;0.31364
1961:03:13;0.347651
1961:03:14;0.380783
1961:03:15;0.413051
1961:03:16;0.444466
1961:03:17;0.475041
1961:03:18;0.504788
1961:03:19;0.533718
1961:03:20;0.561843
1961:03:21;0.589173
1961:03:22;0.615719
1961:03:23;0.641492
1961:03:24;0.666502
1961:03:25;0.690758
1961:03:26;0.71427
1961:03:27;0.737047
1961:03:28;0.759098
1961:03:29;0.780432
1961:03:30;0.801056
1961:03:31;0.820979
1961:04:01;0.840209
1961:04:02;0.859275
1961:04:03;0.878184
1961:04:04;0.896944
1961:04:05;0.915562
1961:04:06;0.934044
1961:04:07;0.9524
1961:04:08;0.970635
1961:04:09;0.988757
1961:04:10;1.00677
1961:04:11;1.02469
1961:04:12;1.04251
1961:04:13;1.06025
1961:04:14;1.07791
1961:04:15;1.0955
1961:04:16;1.11303
1961:04:17;1.13049
1961:04:18;1.14791
1961:04:19;1.16528
1961:04:20;1.18261
1961:04:21;1.19992
1961:04:22;1.2172
1961:04:23;1.23446
1961:04:24;1.25171
1961:04:25;1.26896
1961:04:26;1.28622
1961:04:27;1.30348
1961:04:28;1.32076
1961:04:29;1.33806
1961:04:30;1.35539
1961:05:01;1.37276
1961:05:02;1.38941
1961:05:03;1.40535
1961:05:04;1.42059
1961:05:05;1.43512
1961:05:06;1.44897
1961:05:07;1.46213
1961:05:08;1.4746
1961:05:09;1.4864
1961:05:10;1.49753
1961:05:11;1.50798
1961:05:12;1.51778
1961:05:13;1.52691
1961:05:14;1.53538
1961:05:15;1.5432
1961:05:16;1.55038
1961:05:17;1.5569
1961:05:18;1.56278
1961:05:19;1.56801
1961:05:20;1.5726
1961:05:21;1.57656
1961:05:22;1.57987
1961:05:23;1.58256
1961:05:24;1.5846
1961:05:25;1.58601
1961:05:26;1.58679
1961:05:27;1.58693
1961:05:28;1.58644
1961:05:29;1.58532
1961:05:30;1.58356
1961:05:31;1.58116
1961:06:01;1.57814
1961:06:02;1.57479
1961:06:03;1.57113
1961:06:04;1.56716
1961:06:05;1.56286
1961:06:06;1.55825
1961:06:07;1.55331
1961:06:08;1.54806
1961:06:09;1.54247
1961:06:10;1.53656
1961:06:11;1.53031
1961:06:12;1.52374
1961:06:13;1.51683
1961:06:14;1.50958
1961:06:15;1.50199
1961:06:16;1.49405
1961:06:17;1.48577
1961:06:18;1.47714
1961:06:19;1.46816
1961:06:20;1.45881
1961:06:21;1.44911
1961:06:22;1.43905
1961:06:23;1.42861
1961:06:24;1.4178
1961:06:25;1.40662
1961:06:26;1.39506
1961:06:27;1.3831
1961:06:28;1.37076
1961:06:29;1.35803
1961:06:30;1.34489
1961:07:01;1.33135
1961:07:02;1.31819
1961:07:03;1.30541
1961:07:04;1.293
1961:07:05;1.28096
1961:07:06;1.26928
1961:07:07;1.25795
1961:07:08;1.24698
1961:07:09;1.23636
1961:07:10;1.22608
1961:07:11;1.21615
1961:07:12;1.20655
1961:07:13;1.19728
1961:07:14;1.18835
1961:07:15;1.17973
1961:07:16;1.17145
1961:07:17;1.16348
1961:07:18;1.15582
1961:07:19;1.14848
1961:07:20;1.14146
1961:07:21;1.13473
1961:07:22;1.12832
1961:07:23;1.1222
1961:07:24;1.11639
1961:07:25;1.11088
1961:07:26;1.10566
1961:07:27;1.10073
1961:07:28;1.0961
1961:07:29;1.09175
1961:07:30;1.0877
1961:07:31;1.08393
1961:08:01;1.08044
1961:08:02;1.07604
1961:08:03;1.07072
1961:08:04;1.06448
1961:08:05;1.05732
1961:08:06;1.04923
1961:08:07;1.04021
1961:08:08;1.03026
1961:08:09;1.01938
1961:08:10;1.00755
1961:08:11;0.994775
1961:08:12;0.981052
1961:08:13;0.966373
1961:08:14;0.950733
1961:08:15;0.934126
1961:08:16;0.916545
1961:08:17;0.897983
1961:08:18;0.878433
1961:08:19;0.857887
1961:08:20;0.836338
1961:08:21;0.813776
1961:08:22;0.790194
1961:08:23;0.765582
1961:08:24;0.73993
1961:08:25;0.713228
1961:08:26;0.685467
1961:08:27;0.656634
1961:08:28;0.626719
1961:08:29;0.595711
1961:08:30;0.563596
1961:08:31;0.530363
1961:09:01;0.495999
1961:09:02;0.464609
1961:09:03;0.436182
1961:09:04;0.410706
1961:09:05;0.388172
1961:09:06;0.36857
1961:09:07;0.351893
1961:09:08;0.338134
1961:09:09;0.327289
1961:09:10;0.319352
1961:09:11;0.314322
1961:09:12;0.312195
1961:09:13;0.312971
1961:09:14;0.31665
1961:09:15;0.323234
1961:09:16;0.332725
1961:09:17;0.345127
1961:09:18;0.360445
1961:09:19;0.378685
1961:09:20;0.399854
1961:09:21;0.42396
1961:09:22;0.451012
1961:09:23;0.481022
1961:09:24;0.514
1961:09:25;0.54996
1961:09:26;0.588916
1961:09:27;0.630883
1961:09:28;0.675877
1961:09:29;0.723915
1961:09:30;0.775018
1961:10:01;0.829204
1961:10:02;0.881708
1961:10:03;0.932551
1961:10:04;0.981753
1961:10:05;1.02933
1961:10:06;1.07531
1961:10:07;1.1197
1961:10:08;1.16252
1961:10:09;1.20379
1961:10:10;1.24353
1961:10:11;1.28174
1961:10:12;1.31845
1961:10:13;1.35367
1961:10:14;1.38742
1961:10:15;1.4197
1961:10:16;1.45052
1961:10:17;1.47991
1961:10:18;1.50787
1961:10:19;1.53441
1961:10:20;1.55955
1961:10:21;1.58329
1961:10:22;1.60565
1961:10:23;1.62662
1961:10:24;1.64622
1961:10:25;1.66446
1961:10:26;1.68135
1961:10:27;1.69688
1961:10:28;1.71108
1961:10:29;1.72393
1961:10:30;1.73546
1961:10:31;1.74565
1961:11:01;1.75452
1961:11:02;1.76199
1961:11:03;1.76807
1961:11:04;1.77274
1961:11:05;1.77603
1961:11:06;1.77793
1961:11:07;1.77843
1961:11:08;1.77755
1961:11:09;1.77527
1961:11:10;1.77161
1961:11:11;1.76655
1961:11:12;1.76009
1961:11:13;1.75224
1961:11:14;1.74299
1961:11:15;1.73233
1961:11:16;1.72027
1961:11:17;1.70679
1961:11:18;1.69189
1961:11:19;1.67557
1961:11:20;1.65782
1961:11:21;1.63864
1961:11:22;1.618
1961:11:23;1.59592
1961:11:24;1.57237
1961:11:25;1.54736
1961:11:26;1.52086
1961:11:27;1.49287
1961:11:28;1.46338
1961:11:29;1.43238
1961:11:30;1.39985
1961:12:01;1.36578
1961:12:02;1.33122
1961:12:03;1.29616
1961:12:04;1.26058
1961:12:05;1.22447
1961:12:06;1.18781
1961:12:07;1.15059
1961:12:08;1.11279
1961:12:09;1.07441
1961:12:10;1.03542
1961:12:11;0.995807
1961:12:12;0.955562
1961:12:13;0.914665
1961:12:14;0.873101
1961:12:15;0.830854
1961:12:16;0.787907
1961:12:17;0.744243
1961:12:18;0.699846
1961:12:19;0.654697
1961:12:20;0.60878
1961:12:21;0.562077
1961:12:22;0.514568
1961:12:23;0.466237
1961:12:24;0.417063
1961:12:25;0.367028
1961:12:26;0.316112
1961:12:27;0.264296
1961:12:28;0.211559
1961:12:29;0.15788
1961:12:30;0.103239
1961:12:31;0.0476137
1962:01:01;-0.00901666
1962:01:02;-0.060954
1962:01:03;-0.108219
1962:01:04;-0.150829
1962:01:05;-0.188801
1962:01:06;-0.222151
1962:01:07;-0.250891
1962:01:08;-0.275032
1962:01:09;-0.294584
1962:01:10;-0.309554
1962:01:11;-0.319949
1962:01:12;-0.325772
1962:01:13;-0.327025
1962:01:14;-0.32371
1962:01:15;-0.315824
1962:01:16;-0.303365
1962:01:17;-0.286327
1962:01:18;-0.264705
1962:01:19;-0.23849
1962:01:20;-0.207671
1962:01:21;-0.172236
1962:01:22;-0.132173
1962:01:23;-0.0874639
1962:01:24;-0.0380927
1962:01:25;0.0159601
1962:01:26;0.0747157
1962:01:27;0.138197
1962:01:28;0.206429
1962:01:29;0.279437
1962:01:30;0.357252
1962:01:31;0.439902
1962:02:01;0.52742
1962:02:02;0.610215
1962:02:03;0.688319
1962:02:04;0.761763
1962:02:05;0.830575
1962:02:06;0.894782
1962:02:07;0.954409
1962:02:08;1.00948
1962:02:09;1.06001
1962:02:10;1.10603
1962:02:11;1.14756
1962:02:12;1.1846
1962:02:13;1.21717
1962:02:14;1.24529
1962:02:15;1.26897
1962:02:16;1.28821
1962:02:17;1.30303
1962:02:18;1.31342
1962:02:19;1.3194
1962:02:20;1.32097
1962:02:21;1.31812
1962:02:22;1.31085
1962:02:23;1.29917
1962:02:24;1.28307
1962:02:25;1.26254
1962:02:26;1.23757
1962:02:27;1.20815
1962:02:28;1.17428
1962:03:01;1.13594
1962:03:02;1.09929
1962:03:03;1.06434
1962:03:04;1.03106
1962:03:05;0.999432
1962:03:06;0.969456
1962:03:07;0.941117
1962:03:08;0.914401
1962:03:09;0.8893
1962:03:10;0.865804
1962:03:11;0.843903
1962:03:12;0.823589
1962:03:13;0.804854
1962:03:14;0.78769
1962:03:15;0.772092
1962:03:16;0.758052
1962:03:17;0.745566
1962:03:18;0.734628
1962:03:19;0.725234
1962:03:20;0.717381
1962:03:21;0.711065
1962:03:22;0.706284
1962:03:23;0.703037
1962:03:24;0.701321
1962:03:25;0.701137
1962:03:26;0.702483
1962:03:27;0.705362
1962:03:28;0.709773
1962:03:29;0.715719
1962:03:30;0.723201
1962:03:31;0.732223
1962:04:01;0.742789
1962:04:02;0.751471
1962:04:03;0.758273
1962:04:04;0.763197
1962:04:05;0.766246
1962:04:06;0.76742
1962:04:07;0.76672
1962:04:08;0.764146
1962:04:09;0.759697
1962:04:10;0.753371
1962:04:11;0.745165
1962:04:12;0.735077
1962:04:13;0.723102
1962:04:14;0.709236
1962:04:15;0.693473
1962:04:16;0.675807
1962:04:17;0.656232
1962:04:18;0.634739
1962:04:19;0.611321
1962:04:20;0.585968
1962:04:21;0.55867
1962:04:22;0.529416
1962:04:23;0.498196
1962:04:24;0.464997
1962:04:25;0.429806
1962:04:26;0.392609
1962:04:27;0.353392
1962:04:28;0.312139
1962:04:29;0.268835
1962:04:30;0.223463
1962:05:01;0.176004
1962:05:02;0.130264
1962:05:03;0.086226
1962:05:04;0.0438717
1962:05:05;0.00318493
1962:05:06;-0.0358501
1962:05:07;-0.0732487
1962:05:08;-0.109025
1962:05:09;-0.143194
1962:05:10;-0.175769
1962:05:11;-0.206761
1962:05:12;-0.236184
1962:05:13;-0.264048
1962:05:14;-0.290365
1962:05:15;-0.315145
1962:05:16;-0.338397
1962:05:17;-0.360131
