,Date,Realized Volatility,Predicted Volatility
102,2023-08-29,0.0053655820291772,0.008457181586617069
103,2023-08-30,0.0059949557017169,0.010012352417330112
104,2023-08-31,0.0047344610579238,0.008859501440377693
105,2023-09-01,0.0083234013091633,0.008429044809153763
106,2023-09-05,0.0042179968193125,0.0077224459236439865
107,2023-09-06,0.0065376722907835,0.007567178399574147
108,2023-09-07,0.0084677383437904,0.007631506416103705
109,2023-09-08,0.0050626903215459,0.006734580941720174
110,2023-09-11,0.0077947584415867,0.006751813592590465
111,2023-09-12,0.0051273938127564,0.00702139817396346
112,2023-09-13,0.0054025981376803,0.006843179287609183
113,2023-09-14,0.0058878924164999,0.005746026741988597
114,2023-09-15,0.0058834687998344,0.007173668706094898
115,2023-09-18,0.0035042420255822,0.008310700998236085
116,2023-09-19,0.0048069571401461,0.007077936010926645
