,Realized Volatility,Realized Volatility_lag_1,Realized Volatility_lag_2,ADS_lag_1,ADS_lag_2,US Policy Index_lag_1,US Policy Index_lag_2,VIX_lag_1,VIX_lag_2,Volume_lag_1,Volume_lag_2,Sentiment Score_lag_1,Sentiment Score_lag_2,Dollar_index_ret_lag_1,Dollar_index_ret_lag_2,term_spread_ret_lag_1,term_spread_ret_lag_2,13w TB_ret_lag_1,13w TB_ret_lag_2,Abs Return_lag_1,Abs Return_lag_2
2022-12-05,0.0092449501526472,0.0119043346372662,0.0092740693105149,-0.850654,-0.843448,48.03,177.11,19.059999465942383,19.84000015258789,4012620000.0,4527130000.0,0.0341893448910638,0.1145747415618524,-0.0017201867741725,-0.0115816140722804,0.0549911406546085,0.1976431262969273,0.003571088971097,-0.0142081351677939,0.0013278282258289,0.0004438744377652
2022-12-06,0.0080290613361589,0.0092449501526472,0.0119043346372662,-0.859552,-0.850654,187.14,48.03,20.75,19.059999465942383,4280820000.0,4012620000.0,0.0606547662697462,0.0341893448910638,0.0070530014998604,-0.0017201867741725,-0.3953691636693311,0.0549911406546085,-0.0119533313481148,0.003571088971097,0.0179419610830345,0.0013278282258289
2022-12-07,0.0091113614696248,0.0080290613361589,0.0092449501526472,-0.858284,-0.859552,105.68,187.14,22.170000076293945,20.75,4368380000.0,4280820000.0,0.1010887611825615,0.0606547662697462,0.0027505201743272,0.0070530014998604,0.288366230306871,-0.3953691636693311,0.0148008907293507,-0.0119533313481148,0.01433779712611,0.0179419610830345
2022-12-08,0.0080160034801213,0.0091113614696248,0.0080290613361589,-0.854899,-0.858284,151.37,105.68,22.68000030517578,22.170000076293945,4118050000.0,4368380000.0,0.1047872227255177,0.1010887611825615,-0.0045567133737354,0.0027505201743272,0.1556168341652251,0.288366230306871,-0.0088063648953323,0.0148008907293507,0.0022271257380505,0.01433779712611
2022-12-09,0.0072590474897479,0.0080160034801213,0.0091113614696248,-0.849396,-0.854899,81.81,151.37,22.290000915527344,22.68000030517578,4006900000.0,4118050000.0,0.1293867463217924,0.1047872227255177,-0.0031448240406603,-0.0045567133737354,-0.2571055872238544,0.1556168341652251,-0.0079203562122577,-0.0088063648953323,0.0074616905026141,0.0022271257380505
2022-12-12,0.0065407656058459,0.0072590474897479,0.0080160034801213,-0.841772,-0.849396,114.31,81.81,22.82999992370605,22.290000915527344,3888260000.0,4006900000.0,0.1886889183105206,0.1293867463217924,0.0003817245645552,-0.0031448240406603,-0.0560898626259833,-0.2571055872238544,0.0055268105636036,-0.0079203562122577,0.0072303275192379,0.0074616905026141
2022-12-13,0.0285102496444526,0.0065407656058459,0.0072590474897479,-0.806178,-0.841772,169.7,114.31,25.0,22.82999992370605,3904130000.0,3888260000.0,0.1432215359257088,0.1886889183105206,0.0030484895737138,0.0003817245645552,-0.1280511814887356,-0.0560898626259833,-0.0011988102516508,0.0055268105636036,0.0141156663367114,0.0072303275192379
2022-12-14,0.0185593602374202,0.0285102496444526,0.0065407656058459,-0.790103,-0.806178,122.35,169.7,22.549999237060547,25.0,5079360000.0,3904130000.0,0.1778334901700558,0.1432215359257088,-0.0109990482221756,0.0030484895737138,0.4959612391152491,-0.1280511814887356,0.0190119605289134,-0.0011988102516508,0.0072960871530954,0.0141156663367114
2022-12-15,0.0174223223285351,0.0185593602374202,0.0285102496444526,-0.771919,-0.790103,120.9,122.35,21.13999938964844,22.549999237060547,4472340000.0,5079360000.0,0.1406514392748681,0.1778334901700558,-0.0020217259725492,-0.0109990482221756,-0.0600014219494736,0.4959612391152491,-0.0066132397332761,0.0190119605289134,0.006106405446102,0.0072960871530954
2022-12-16,0.0115907197423057,0.0174223223285351,0.0185593602374202,-0.751618,-0.771919,114.95,120.9,22.82999992370605,21.13999938964844,4493900000.0,4472340000.0,0.0654867073280581,0.1406514392748681,0.007584166699197,-0.0020217259725492,0.0364310078565179,-0.0600014219494736,-0.0016601378899785,-0.0066132397332761,0.0247311213939378,0.006106405446102
2022-12-19,0.0079917356475933,0.0115907197423057,0.0174223223285351,-0.729192,-0.751618,99.07,114.95,22.6200008392334,22.82999992370605,7493660000.0,4493900000.0,0.1244661848859561,0.0654867073280581,0.0013380427622182,0.007584166699197,-0.0724056551348404,0.0364310078565179,-0.0119389465701401,-0.0016601378899785,0.0119844268332749,0.0247311213939378
2022-12-20,0.0087102274602537,0.0079917356475933,0.0115907197423057,-0.649237,-0.729192,87.27,99.07,22.420000076293945,22.6200008392334,3969610000.0,7493660000.0,0.0633782425960122,0.1244661848859561,0.0001910445296217,0.0013380427622182,-0.1889364906343059,-0.0724056551348404,0.0,-0.0119389465701401,0.0086584560438467,0.0119844268332749
2022-12-21,0.0093140615695861,0.0087102274602537,0.0079917356475933,-0.618536,-0.649237,72.84,87.27,21.479999542236328,22.420000076293945,3985370000.0,3969610000.0,0.2336411403418186,0.0633782425960122,-0.0071877255276777,0.0001910445296217,-0.0133633176957297,-0.1889364906343059,0.0159660036971028,0.0,0.0010890102840107,0.0086584560438467
2022-12-22,0.0143268216956912,0.0093140615695861,0.0087102274602537,-0.585818,-0.618536,147.63,72.84,20.06999969482422,21.479999542236328,3775200000.0,3985370000.0,0.0630004951676743,0.2336411403418186,0.0018258058879629,-0.0071877255276777,-0.0365343649264704,-0.0133633176957297,-0.0059277222859993,0.0159660036971028,0.0145664363560286,0.0010890102840107
2022-12-23,0.010077761772709,0.0143268216956912,0.0093140615695861,-0.551069,-0.585818,98.69,147.63,21.96999931335449,20.06999969482422,3956950000.0,3775200000.0,0.0136713520802737,0.0630004951676743,0.0025887797949984,0.0018258058879629,-0.0211514004168546,-0.0365343649264704,0.000713243667779,-0.0059277222859993,0.0143100628558941,0.0145664363560286
